Date,rv_5d,rv_10d,rv_20d,ret_1d_sum,ret_5d_sum,ret_10d_sum
2020-01-21,0.36939949583088694,0.5498777253216605,0.5807025528933707,0.014721407189505249,0.028371978636927607,0.11102886721045943
2020-01-22,0.2627596086203661,0.5536994334154428,0.5687072824218397,-0.005484267472083575,-0.015583918595879,0.08727582782858793
2020-01-23,0.3025664776503803,0.5931588772281418,0.5879610736620133,-0.03907817101296823,-0.06848605500811064,0.05982224904535802
2020-01-24,0.2731221486953383,0.33927867717852617,0.5906912593204898,-0.0082403377729543,-0.04659076782353735,-0.0464193317140868
2020-01-25,0.2732040299609471,0.34060120789676496,0.5941074114822501,-0.010980300481798471,-0.04906166955029934,-0.051306787261475216
2020-01-26,0.4089113899867254,0.3980470371452,0.4851338479840215,0.04094281574666273,-0.02284026099314187,0.005531717643785794
2020-01-27,0.4222368165725358,0.35205285751472987,0.48369215041404395,0.012274226792134165,-0.005081766728924122,-0.020665685324803076
2020-01-28,0.3459249976222871,0.3931934413922213,0.4880199912392493,0.03695489317799487,0.07095129746203899,0.0024652424539283943
2020-01-29,0.35009956550802496,0.3642234739089206,0.4810071804701342,-0.009497258161387167,0.06969437707360611,0.023103609250068803
2020-01-30,0.29526860339509087,0.380847637519485,0.47671339067196883,0.029792880866763342,0.11046755842216793,0.061405888871868625
2020-01-31,0.33817133485308987,0.39349843522657213,0.4825367627596324,-0.01767827635402099,0.05184646632148421,0.029006205328342385
2020-02-01,0.33807045696623095,0.3914683212620602,0.48081659094361073,0.007898556168502121,0.04747079569785216,0.042389028968928086
2020-02-02,0.29706822742937683,0.32710380147488766,0.4804471789105038,0.025702405070255795,0.03621830759011309,0.10716960505215212
2020-02-03,0.2660045305053901,0.3117680167992188,0.35302549292155483,0.009404994157986808,0.05512055990948707,0.12481493698309322
2020-02-04,0.2679527740813692,0.2950588548742588,0.3623817504027414,0.030336445660861664,0.05566412470358539,0.16613168312575335
2020-02-05,0.20533364879420543,0.2973786623053689,0.37404542586334744,0.04204129742076735,0.11538369847837374,0.16723016479985797
2020-02-06,0.18091277335632014,0.29653996855638176,0.35914604551959034,0.015645240409950297,0.1231303827198219,0.1706011784176741
2020-02-07,0.26130182576091904,0.2934665261002906,0.3610184180958047,-0.005366515292995084,0.09206146235657102,0.12827976994668414
2020-02-08,0.2931928126802546,0.2826010668645461,0.3377896997415395,-0.003112841806157723,0.07954362639242649,0.1346641863019136
2020-02-09,0.2751961557327522,0.2725461097537633,0.33505505105553296,0.020760558066284882,0.0699677387978497,0.12563186350143515
2020-02-10,0.2773886338198696,0.30567901791167684,0.35885674701863174,-0.028504013871969016,-0.0005775724948866579,0.1148061259834871
2020-02-11,0.3128811041729192,0.3124896895983166,0.361412366919221,0.026072749895328345,0.00984993699049139,0.13298031971031332
2020-02-12,0.4938185924254618,0.3955268605956648,0.36655492432330355,0.06466621202569203,0.07988266430917851,0.17194412666574957
2020-02-13,0.502495935560836,0.4196402661713757,0.37597755148133194,0.04874531072755508,0.13174081684289132,0.21128444323531784
2020-02-14,0.5027132551913958,0.41680409836698695,0.36217848231495653,0.020382912733300035,0.13136317150990645,0.2013309103077562
2020-02-15,0.7569325058194397,0.5869176530492483,0.46959709915812936,-0.07241812231637909,0.08744906306549638,0.08687149057060978
2020-02-16,0.7953278053287133,0.6058476490547056,0.4870032864173186,-0.02457166529191848,0.03680464787824955,0.046654584868740995
2020-02-17,0.6653128236052012,0.6239659047707705,0.49447833255477935,-0.027487014671220434,-0.05534857881866291,0.024534085490515646
2020-02-18,0.6338820956816186,0.6497637042585938,0.5037075579489887,0.041634542579767765,-0.06245934696645022,0.06928146987644113
2020-02-19,0.6368164637091145,0.7229468315930495,0.5575116129838902,-0.06291425570905707,-0.14575651540880732,-0.014393343898900818
2020-02-20,0.5369767531747222,0.7125043794881893,0.5557369720638654,-0.014033387376349255,-0.08737178046877749,7.728259671893958e-05
2020-02-21,0.5565273021457297,0.7013076853611008,0.5558021320641311,0.008976463300734944,-0.05382365187612406,-0.01701900399787446
2020-02-22,0.5430706449318271,0.6092393669589994,0.5511506750571117,0.0017790004970815137,-0.024557636707822118,-0.07990621552648497
2020-02-23,0.47884093511830084,0.5627855723937962,0.555654113717691,0.02537223191514476,-0.040819947372445126,-0.1032792943388953
2020-02-24,0.3435084867506298,0.5513965493325899,0.5674913314682647,-0.0383347676292683,-0.016240459292656363,-0.16199697470146363
2020-02-25,0.47693125907023426,0.5101892758485989,0.579610725546289,-0.054372473866523045,-0.05657954578283016,-0.1439513262516076
2020-02-26,0.6010222463742616,0.5969671257494754,0.6321687879350613,-0.07932527300553142,-0.1448812820890965,-0.19870493396522054
2020-02-27,0.6497893786048816,0.621187542655308,0.6383602831324091,0.018023192515648136,-0.1286370900705299,-0.15319472677835197
2020-02-28,0.547600595359579,0.5481609180023341,0.6382475337027554,-0.006172130164714384,-0.16018145215038904,-0.20100139952283413
2020-02-29,0.5512583859159959,0.4992855505577231,0.6313259733947748,-0.017746599388889003,-0.13959328391000975,-0.15583374320266608
2020-03-01,0.5162029308701209,0.5004304222013003,0.6271226132199466,-0.008445943166519468,-0.09366675321000616,-0.15024629899283626
2020-03-02,0.3401620735743915,0.5592104362305126,0.639306747858612,0.04110874491858385,0.026767264714109118,-0.11811401737498738
2020-03-03,0.34411436990144456,0.5546774073481486,0.5842683417962756,-0.01564348214157147,-0.006899409943110488,-0.13553650001364037
2020-03-04,0.34201753829003073,0.5215244571206702,0.544514526935593,-0.0006309264187155238,-0.0013582061971116274,-0.16153965834750064
