Date,BTC-USD,NVDA,SPY,XRP-USD
2020-01-01,7200.17431640625,,,0.19266700744628906
2020-01-02,6985.47021484375,5.9710774421691895,297.69903564453125,0.1880429983139038
2020-01-03,7344.88427734375,5.875504970550537,295.4447021484375,0.19352099299430847
2020-01-04,7410.65673828125,5.875504970550537,295.4447021484375,0.19435499608516693
2020-01-05,7411.3173828125,5.875504970550537,295.4447021484375,0.1955370008945465
2020-01-06,7769.21923828125,5.900144100189209,296.5719299316406,0.22150999307632446
2020-01-07,8163.6923828125,5.971574783325195,295.73809814453125,0.21391700208187103
2020-01-08,8079.86279296875,5.982775688171387,297.3140563964844,0.20902599394321442
2020-01-09,7879.0712890625,6.0484819412231445,299.33013916015625,0.20489899814128876
2020-01-10,8166.55419921875,6.080836772918701,298.4686584472656,0.21230599284172058
2020-01-11,8037.53759765625,6.080836772918701,298.4686584472656,0.21185100078582764
2020-01-12,8192.494140625,6.080836772918701,298.4686584472656,0.21563300490379333
2020-01-13,8144.1943359375,6.271486282348633,300.5213928222656,0.21261699497699738
2020-01-14,8827.7646484375,6.154508113861084,300.0632019042969,0.23468700051307678
2020-01-15,8807.0107421875,6.111948013305664,300.7413330078125,0.23289500176906586
2020-01-16,8723.7861328125,6.195574760437012,303.2429504394531,0.2285739928483963
2020-01-17,8929.0380859375,6.204286098480225,304.1867980957031,0.23877599835395813
2020-01-18,8942.80859375,6.204286098480225,304.1867980957031,0.24328599870204926
2020-01-19,8706.2451171875,6.204286098480225,304.1867980957031,0.23558500409126282
2020-01-20,8657.642578125,6.204286098480225,304.1867980957031,0.2332960069179535
2020-01-21,8745.89453125,6.170934677124023,303.5911865234375,0.23716600239276886
2020-01-22,8680.8759765625,6.2249436378479,303.62786865234375,0.23605599999427795
2020-01-23,8406.515625,6.293387413024902,303.97607421875,0.2261040061712265
2020-01-24,8445.4345703125,6.234152793884277,301.27276611328125,0.22304099798202515
2020-01-25,8367.84765625,6.234152793884277,301.27276611328125,0.220427006483078
2020-01-26,8596.830078125,6.234152793884277,301.27276611328125,0.2306859940290451
2020-01-27,8909.8193359375,5.978295803070068,296.4435729980469,0.231222003698349
2020-01-28,9358.58984375,6.171681880950928,299.5500183105469,0.23848800361156464
2020-01-29,9316.6298828125,6.111201763153076,299.3026123046875,0.23573000729084015
2020-01-30,9508.9931640625,6.117921829223633,300.2738952636719,0.24364200234413147
2020-01-31,9350.529296875,5.884464263916016,294.82171630859375,0.23923300206661224
2020-02-01,9392.875,5.884464263916016,294.82171630859375,0.24145500361919403
2020-02-02,9344.365234375,5.884464263916016,294.82171630859375,0.25073400139808655
2020-02-03,9293.521484375,5.981531143188477,297.0116882324219,0.254626989364624
2020-02-04,9180.962890625,6.150774955749512,301.5385437011719,0.26680800318717957
2020-02-05,9613.423828125,6.2411208152771,305.0207824707031,0.2774679958820343
2020-02-06,9729.8017578125,6.327983379364014,306.04705810546875,0.2822139859199524
2020-02-07,9795.943359375,6.261779308319092,304.4158935546875,0.2792840003967285
2020-02-08,9865.119140625,6.261779308319092,304.4158935546875,0.2772429883480072
2020-02-09,10116.673828125,6.261779308319092,304.4158935546875,0.28245699405670166
2020-02-10,9856.611328125,6.54501485824585,306.6884765625,0.2740800082683563
2020-02-11,10208.236328125,6.667466640472412,307.2200622558594,0.2801409959793091
2020-02-12,10326.0546875,6.783200740814209,309.19940185546875,0.3043929934501648
2020-02-13,10214.3798828125,6.7393951416015625,308.8695373535156,0.3267059922218323
2020-02-14,10312.1162109375,7.212530136108398,309.36431884765625,0.33482199907302856
2020-02-15,9889.4248046875,7.212530136108398,309.36431884765625,0.30623599886894226
2020-02-16,9934.43359375,7.212530136108398,309.36431884765625,0.2950339913368225
2020-02-17,9690.142578125,7.212530136108398,309.36431884765625,0.28657200932502747
2020-02-18,10141.99609375,7.381278038024902,308.5671081542969,0.2979130148887634
2020-02-19,9633.38671875,7.832512378692627,310.04241943359375,0.2776019871234894
2020-02-20,9608.4755859375,7.683180809020996,308.7686462402344,0.2723959982395172
2020-02-21,9686.44140625,7.319055557250977,305.5888366699219,0.2749379873275757
2020-02-22,9663.181640625,7.319055557250977,305.5888366699219,0.2759009897708893
2020-02-23,9924.515625,7.319055557250977,305.5888366699219,0.282710999250412
2020-02-24,9650.1748046875,6.80161714553833,295.453857421875,0.2706269919872284
2020-02-25,9341.705078125,6.522116184234619,286.5010070800781,0.25341200828552246
2020-02-26,8820.5224609375,6.661494255065918,285.4471435546875,0.23085099458694458
2020-02-27,8784.494140625,6.290677547454834,272.6273498535156,0.2371159940958023
2020-02-28,8672.455078125,6.725744724273682,271.48187255859375,0.23629599809646606
2020-02-29,8599.5087890625,6.725744724273682,271.48187255859375,0.23119300603866577
2020-03-01,8562.4541015625,6.725744724273682,271.48187255859375,0.2288459986448288
2020-03-02,8869.669921875,6.884131908416748,283.23870849609375,0.2387470006942749
2020-03-03,8787.7861328125,6.621648788452148,275.1289367675781,0.23438100516796112
2020-03-04,8755.24609375,7.085355758666992,286.6934814453125,0.2345300018787384
2020-03-05,9078.7626953125,6.805934429168701,277.1632995605469,0.23958200216293335
2020-03-06,9122.5458984375,6.625382423400879,272.58135986328125,0.24408799409866333
2020-03-07,8909.9541015625,6.625382423400879,272.58135986328125,0.2370709925889969
2020-03-08,8108.1162109375,6.625382423400879,272.58135986328125,0.20690399408340454
2020-03-09,7923.64453125,6.112366676330566,251.2943572998047,0.20918099582195282
2020-03-10,7909.7294921875,6.50186014175415,264.2975158691406,0.2122350037097931
