Date,rv_next_5d
2020-01-31,0.48484018867724943
2020-02-03,0.3050562292224545
2020-02-04,0.17979749544282161
2020-02-05,0.18083349661603706
2020-02-06,0.18294661014605393
2020-02-07,0.21523701889288313
2020-02-10,0.2335895962500083
2020-02-11,0.23299345385689713
2020-02-12,0.23105821654499678
2020-02-13,0.3302487548087782
2020-02-14,0.35900223580756485
2020-02-18,0.4006545022208562
2020-02-19,0.3601979462383584
2020-02-20,0.33347743606895014
2020-02-21,0.42197044717159965
2020-02-24,0.5315495463022436
2020-02-25,0.9350565976155113
2020-02-26,0.9233758385180556
2020-02-27,1.0136432212632551
2020-02-28,0.9752921990083688
2020-03-02,0.7649794207810667
2020-03-03,0.7341061347073918
2020-03-04,0.8640831408845614
2020-03-05,0.7629339114970859
2020-03-06,0.8963467802683917
2020-03-09,1.0664768519250807
2020-03-10,1.2731385687673644
2020-03-11,1.1397706379473416
2020-03-12,1.1407917916192483
2020-03-13,1.137289770210931
2020-03-16,0.971922002701484
2020-03-17,0.5080699851159336
2020-03-18,1.0965742190120011
2020-03-19,0.9107808946308447
2020-03-20,0.9202177579392139
2020-03-23,1.027753985990993
2020-03-24,0.9903385273819402
2020-03-25,0.5029711450547734
2020-03-26,0.47306860027909325
2020-03-27,0.4425309747210589
2020-03-30,0.4070925806029177
2020-03-31,0.7943611335394014
2020-04-01,0.7943415812123301
2020-04-02,0.6951087350043222
2020-04-03,0.5047636704652865
2020-04-06,0.4730825027337025
2020-04-07,0.1845596617669384
2020-04-08,0.37876173221982534
2020-04-09,0.38304717104258673
2020-04-13,0.37807829503074153
2020-04-14,0.3034998587109436
2020-04-15,0.2532446060928807
2020-04-16,0.19217272024282528
2020-04-17,0.34010341393360705
2020-04-20,0.3552722928285182
2020-04-21,0.6090359290198156
2020-04-22,0.6527243090916716
2020-04-23,0.6437655729213722
2020-04-24,0.5350618312395785
2020-04-27,0.4099132700751656
2020-04-28,0.4103984085114115
2020-04-29,0.4568684669749089
2020-04-30,0.9557673940228663
2020-05-01,0.9793539138688009
2020-05-04,0.7794524456014639
2020-05-05,0.8424988111106172
2020-05-06,0.8572100115245265
2020-05-07,0.4147267133070936
2020-05-08,0.3897739276404301
2020-05-11,0.1826983369973344
2020-05-12,0.1840825245960984
2020-05-13,0.20051054322701972
2020-05-14,0.21120456759106118
2020-05-15,0.2498155376159912
2020-05-18,0.23780709398872096
2020-05-19,0.27940438829423947
2020-05-20,0.31992368927880266
2020-05-21,0.17854835660599444
2020-05-22,0.34798237967829937
2020-05-26,0.4928359114337637
2020-05-27,0.47892665279549845
2020-05-28,0.3727678889056757
2020-05-29,0.3430035605570624
2020-06-01,0.31888242802034267
2020-06-02,0.7325060851835162
2020-06-03,0.7340317091987727
2020-06-04,0.713262201874691
2020-06-05,0.9230202079587492
2020-06-08,0.9209535700264292
2020-06-09,0.5630080423278422
2020-06-10,0.5590247231963927
2020-06-11,0.5506363909703682
2020-06-12,0.19559767055043975
2020-06-15,0.224022016776197
2020-06-16,0.10962199775641998
2020-06-17,0.1678583356431888
2020-06-18,0.18046668947127315
2020-06-19,0.18598320586765402
2020-06-22,0.23406345382102325
2020-06-23,0.10818761572524983
2020-06-24,0.23287702266939173
2020-06-25,0.352373750783651
2020-06-26,0.3453901086974268
2020-06-29,0.30511098258613756
2020-06-30,0.19588815520527564
2020-07-01,0.20005452888203676
2020-07-02,0.20148992100926827
2020-07-06,0.2623320701159623
2020-07-07,0.2928307202673436
2020-07-08,0.3350629718865605
2020-07-09,0.33952477909874396
2020-07-10,0.34774243245973413
2020-07-13,0.33258816730542934
2020-07-14,0.2201150427076633
2020-07-15,0.20555618605979345
2020-07-16,0.15733565513978393
2020-07-17,0.25673213082561036
2020-07-20,0.25697048077413565
2020-07-21,0.2835039984755846
2020-07-22,0.28596789955467233
2020-07-23,0.3132400979149826
2020-07-24,0.20875585541790131
2020-07-27,0.42120583064202216
2020-07-28,0.46851777824793905
2020-07-29,0.38611709186174054
2020-07-30,0.5572732703562705
2020-07-31,0.5156717447177915
2020-08-03,0.4693710203970894
2020-08-04,0.3725438708939282
2020-08-05,0.2626765998033737
2020-08-06,0.23448059123064172
2020-08-07,0.2579175608883065
2020-08-10,0.2447302961410563
2020-08-11,0.238162442632787
2020-08-12,0.1628849694933555
2020-08-13,0.15844547220467933
2020-08-14,0.15635762766803804
2020-08-17,0.1433102146501422
2020-08-18,0.1456304319265302
2020-08-19,0.15712431381443168
2020-08-20,0.1558644420601931
2020-08-21,0.15506988988634407
2020-08-24,0.15935472012396917
2020-08-25,0.24422561139996588
2020-08-26,0.2105473722944695
2020-08-27,0.36931442171079953
2020-08-28,0.44591144536402855
2020-08-31,0.4513461954347585
2020-09-01,0.3282898458314275
2020-09-02,0.4107024107605667
2020-09-03,0.37709062190229825
2020-09-04,0.36205595605447377
2020-09-08,0.4522829643726488
2020-09-09,0.4484122562304156
2020-09-10,0.423644395479035
2020-09-11,0.43293504655385784
2020-09-14,0.4664721294278457
2020-09-15,0.36113740385080007
2020-09-16,0.39035352868992845
2020-09-17,0.4065558658338556
2020-09-18,0.4071734575106306
2020-09-21,0.40317855400839137
2020-09-22,0.405229779038501
2020-09-23,0.4660217876901305
2020-09-24,0.3372551221038685
2020-09-25,0.28909283213293685
2020-09-28,0.38130330597573364
2020-09-29,0.42865363550257646
2020-09-30,0.3705564346538397
2020-10-01,0.3905374853281883
2020-10-02,0.38864393869737157
2020-10-05,0.22486752150280695
2020-10-06,0.14147856122323899
2020-10-07,0.3022947871579841
2020-10-08,0.2645048544013091
2020-10-09,0.2798423340186173
2020-10-12,0.26722738751511843
2020-10-13,0.1449548388025269
2020-10-14,0.10303231291304997
2020-10-15,0.09475114823089326
2020-10-16,0.12131784402173368
2020-10-19,0.12914369557231897
2020-10-20,0.14861708071380408
2020-10-21,0.15885412672639854
2020-10-22,0.2271719544790501
2020-10-23,0.2636814581837209
2020-10-26,0.3790316070023005
2020-10-27,0.4182282106388769
2020-10-28,0.4714238957723776
2020-10-29,0.4887972005796504
2020-10-30,0.5674168012566703
2020-11-02,0.2645810836690697
2020-11-03,0.411241816061326
