Date,AAPL,BYND
2020-01-02,72.46826171875,75.63999938964844
2020-01-03,71.76372528076172,75.41000366210938
2020-01-06,72.33556365966797,74.58999633789062
2020-01-07,71.99535369873047,83.88999938964844
2020-01-08,73.15350341796875,81.4800033569336
2020-01-09,74.70735168457031,90.25
2020-01-10,74.87620544433594,96.06999969482422
2020-01-13,76.47589874267578,114.33999633789062
2020-01-14,75.44322967529297,117.05000305175781
2020-01-15,75.11991119384766,107.08000183105469
2020-01-16,76.0609130859375,110.4000015258789
2020-01-17,76.90298461914062,109.12000274658203
2020-01-21,76.3818130493164,129.17999267578125
2020-01-22,76.65446472167969,122.4000015258789
2020-01-23,77.02360534667969,118.63999938964844
2020-01-24,76.8016357421875,119.48999786376953
2020-01-27,74.54326629638672,124.75
2020-01-28,76.65205383300781,120.12000274658203
2020-01-29,78.25655364990234,114.87999725341797
2020-01-30,78.14315795898438,117.29000091552734
2020-01-31,74.67839050292969,110.41999816894531
2020-02-03,74.4732894897461,106.0
2020-02-04,76.93193817138672,110.43000030517578
2020-02-05,77.55926513671875,110.16999816894531
2020-02-06,78.4664535522461,111.88999938964844
2020-02-07,77.39988708496094,116.44000244140625
2020-02-10,77.76749420166016,119.7300033569336
2020-02-11,77.29830169677734,117.13999938964844
2020-02-12,79.13398742675781,114.7300033569336
2020-02-13,78.57044982910156,112.01000213623047
2020-02-14,78.58981323242188,116.22000122070312
2020-02-18,77.15081024169922,122.02999877929688
2020-02-19,78.26815032958984,126.0999984741211
2020-02-20,77.46517944335938,120.58000183105469
2020-02-21,75.71176147460938,117.44999694824219
2020-02-24,72.11543273925781,113.95999908447266
2020-02-25,69.6727294921875,109.91999816894531
2020-02-26,70.77799987792969,112.51000213623047
2020-02-27,66.1513442993164,106.13999938964844
2020-02-28,66.1126480102539,89.6500015258789
2020-03-02,72.267822265625,96.0999984741211
2020-03-03,69.97261810302734,95.43000030517578
2020-03-04,73.21826171875,101.88999938964844
2020-03-05,70.84329986572266,95.87000274658203
2020-03-06,69.90249633789062,96.08999633789062
2020-03-09,64.3737564086914,87.95999908447266
2020-03-10,69.01004028320312,90.9800033569336
2020-03-11,66.61328887939453,82.63999938964844
2020-03-12,60.03492736816406,74.0
2020-03-13,67.22762298583984,73.05999755859375
2020-03-16,58.578975677490234,61.54999923706055
2020-03-17,61.154701232910156,60.31999969482422
2020-03-18,59.65763854980469,54.02000045776367
2020-03-19,59.200538635253906,57.33000183105469
2020-03-20,55.44215393066406,57.9900016784668
2020-03-23,54.26433181762695,57.54999923706055
2020-03-24,59.70841979980469,67.43000030517578
2020-03-25,59.3795166015625,73.0
2020-03-26,62.50422668457031,71.0999984741211
2020-03-27,59.91640853881836,66.12000274658203
2020-03-30,61.626312255859375,66.08999633789062
2020-03-31,61.50054168701172,66.5999984741211
2020-04-01,58.26457214355469,64.18000030517578
2020-04-02,59.23680877685547,57.95000076293945
2020-04-03,58.38548278808594,59.90999984741211
2020-04-06,63.47890090942383,65.91999816894531
2020-04-07,62.74365997314453,67.43000030517578
2020-04-08,64.34955596923828,69.47000122070312
2020-04-09,64.81391906738281,72.30000305175781
2020-04-13,66.08605194091797,76.66999816894531
2020-04-14,69.42361450195312,78.05000305175781
2020-04-15,68.78997039794922,74.69999694824219
2020-04-16,69.33655548095703,74.81999969482422
2020-04-17,68.39573669433594,76.91000366210938
2020-04-20,66.97607421875,79.12000274658203
2020-04-21,64.90583038330078,84.95999908447266
2020-04-22,66.77534484863281,88.45999908447266
2020-04-23,66.51656341552734,99.77999877929688
2020-04-24,68.43688201904297,108.77999877929688
2020-04-27,68.4852294921875,99.62999725341797
2020-04-28,67.37513732910156,99.5199966430664
2020-04-29,69.58808898925781,100.0999984741211
2020-04-30,71.05613708496094,98.98999786376953
2020-05-01,69.91217041015625,91.52999877929688
2020-05-04,70.90133666992188,95.16000366210938
2020-05-05,71.96548461914062,100.16000366210938
2020-05-06,72.70795440673828,126.20999908447266
2020-05-07,73.46012878417969,122.66000366210938
2020-05-08,75.2085952758789,133.50999450683594
2020-05-11,76.39204406738281,130.82000732421875
2020-05-12,75.51901245117188,136.92999267578125
2020-05-13,74.607177734375,134.50999450683594
2020-05-14,75.06553649902344,135.41000366210938
2020-05-15,74.62174224853516,134.16000366210938
2020-05-18,76.37991333007812,130.02999877929688
2020-05-19,75.93856811523438,136.1999969482422
2020-05-20,77.41542053222656,140.5
2020-05-21,76.83824157714844,138.11000061035156
2020-05-22,77.33296203613281,136.8000030517578
2020-05-26,76.80914306640625,132.8699951171875
2020-05-27,77.14378356933594,123.1500015258789
2020-05-28,77.17776489257812,120.81999969482422
2020-05-29,77.1025619506836,128.2899932861328
2020-06-01,78.05078887939453,138.69000244140625
2020-06-02,78.4121322631836,135.19000244140625
2020-06-03,78.84378814697266,134.22999572753906
2020-06-04,78.16476440429688,136.44000244140625
2020-06-05,80.39097595214844,133.52999877929688
2020-06-08,80.86628723144531,162.4600067138672
2020-06-09,83.41989135742188,153.9499969482422
2020-06-10,85.56605529785156,156.16000366210938
2020-06-11,81.4579849243164,143.50999450683594
2020-06-12,82.1612548828125,144.74000549316406
2020-06-15,83.17736053466797,154.0
2020-06-16,85.3817367553711,151.94000244140625
2020-06-17,85.26292419433594,156.33999633789062
2020-06-18,85.296875,158.1999969482422
2020-06-19,84.80944061279297,158.27999877929688
2020-06-22,87.02838134765625,159.6300048828125
2020-06-23,88.88597106933594,152.7899932861328
2020-06-24,87.31696319580078,151.3800048828125
2020-06-25,88.47613525390625,145.35000610351562
