,Average Absolute Error,Average Squared Error,RMSE
Naive,0.3264802324430178,0.6390340193873905,0.7993960341328886
LinearReg,0.2849594651112686,0.4325220051329708,0.6576640518782905
RandomForest,0.244774177203196,0.485539162025552,0.6968064021129198
